CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Liberia,LBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,60.5203902439024
Libya,LBY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,71.6576829268293
Liechtenstein,LIE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,82.3829268292683
Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.1634146341464
Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,81.7975609756098
"Macao SAR, China",MAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,80.3391463414634
"Macedonia, FYR",MKD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,75.1870487804878
Madagascar,MDG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,64.6739024390244
Malawi,MWI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,61.466
Malaysia,MYS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.567512195122
Maldives,MDV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,76.6026097560976
Mali,MLI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,57.5351951219512
Malta,MLT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,80.7463414634146
Mauritania,MRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,62.8027073170732
Mauritius,MUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.46
Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,76.5326585365854
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,68.9733902439024
Moldova,MDA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,68.811512195122
Mongolia,MNG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,69.0618048780488
Montenegro,MNE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.7583658536585
Morocco,MAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,73.7090487804878
Mozambique,MOZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,54.641512195122
Myanmar,MMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,65.6540975609756
Namibia,NAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,64.3438780487805
Nepal,NPL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,69.222
Netherlands,NLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,81.1048780487805
New Caledonia,NCL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,77.1219512195122
New Zealand,NZL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,81.4073170731707
Nicaragua,NIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2013,74.514756097561
